"Image of the issue","Address/landmark/house number","Ward name/number","Date of recording the image","Time of recording the image","Observations","Latitude","Longitude","LatLngs","Type","Entry Type"
"http://mapunitygroups.com//uploads/tmp/1473140521-2651-5408/1473140454089.jpg","6th Main, HRBR layout 2nd block","Banaswadi / 27","06/09/2016","07:00","Gets cleared but comes back","13.020963575976822","77.64142926782368","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473140614-3718-8513/1473140554332.jpg","6th Main, HRBR Layout 2nd Block","Banaswadi / ward 27","06/09/2016","07:00","Gets cleared but comes back","13.020953123003672","77.64137897640467","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473140735-3718-9727/1473140667350.jpg","6th Main road, HRBR Layout 2nd block","Banaswadi / ward 27","06/09/2016","07:00","Gets cleared but comes back","13.019804599891408","77.64140848070383","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473140846-3718-9709/1473140782783.jpg","2nd H cross, HRBR layout 2nf block","Banaswadi / ward 27","06/09/2016","07:45","Gets cleared but comes back","13.019360346065156","77.64019545167685","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473146443-3718-1439/IMG_20160906_074603455.jpg","intersection of 2nd H cross and 5 th A Mai, HRBR layout 2nd block","Banaswadi / Ward 27","06/09/2016","07:00","Gets cleared but comes back","13.019466509735773","77.63989202678204","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473141146-3718-0509/1473141070426.jpg","Near Rajkumar park, HRBR Layout 2nd block","Banasawadi / ward 27","06/09/2016","07:00","Gets cleared but comes back","13.015612902684758","77.64056157320736","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473141274-3718-4670/1473141213294.jpg","7th Main, HRBR layout 2st block","Banaswadi / ward 27","06/09/2016","07:00","BBMP/ sweepers dump waste here, Gets cleared but comes back","13.014387915442462","77.64246795326471","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473141816-3718-8532/1473141768990.jpg","7th Main road","Banasawadi","06/09/2016","07:00","Gets cleared but comes back","13.013798286091694","77.6423093676567","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473141920-3718-5933/1473141876136.jpg","7th main","Banasawadi / ward 27","06/09/2016","07:00","Gets cleared but comes back","13.013488280956416","77.64232881367207","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473142008-3718-1966/1473141972491.jpg","7th Main","Banaswadi / ward 27","06/09/2016","07:40","Gets cleared but comes back","13.01269056311482","77.64248538762331","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473142107-3718-1861/1473142072308.jpg","7th main","Banaswadi / ward 27","06/09/2016","07:00","Gets cleared but comes back","13.009724088622944","77.64308854937553","","point","Original"
